Year,Word,ManSyl,length
2008,Stock Market,3,12
2008,Lipstick Pig,3,12
2008,Cosmopolitan,5,12
2008,Chicken Soup,,12
2008,Potato Salad,,12
2008,Paper Planes,3,12
2008,What is Life,3,12
2008,Heath Ledger,3,12
2008,Randy Pausch,,12
2008,DIY Electric,,12
2008,DIY Concrete,,12
2008,How To Write,3,12
2008,How To Paint,,12
2008,How To Spell,3,12
2008,Who is Obama,5,12
2008,Who is Palin,4,12
2008,Who is Dolla,,12
2009,Transformers,3,12
2009,Anime Online,,12
2009,Beijing 2008,6,12
2009,Win For Life,,12
2009,Tesco Direct,,12
2009,Facebook App,,12
2009,Twitter Tips,,12
2010,Selena Gomez,,12
2010,Chatroulette,,12
2010,Mundial 2010,,12
2010,Wayne Rooney,3,12
2011,Spb Shell 3d,,12
2011,Jimmy John's,,12
2011,Lewis Nguyai,,12
2012,Play Station,,12
2012,The Avengers,,12
2012,Ek Tha Tiger,,12
2012,Dark Shadows,,12
2012,Harry Styles,4,12
2012,Donna Summer,,12
2012,Lana Del Rey,4,12
2013,Man of Steel,,12
2013,Amanda Bynes,,12
2013,Robin Thicke,3,12
2013,Harlem Shake,3,12
2014,Maya Angelou,5,12
2014,Harold Ramis,,12
2014,Rubik's Cube,3,12
2014,Tracy Morgan,4,12
2015,Ronda Rousey,4,12
2015,Donald Trump,3,12
2015,Sandra Bland,,12
2015,Stuart Scott,,12
2015,Copa America,,12
2016,Simone Biles,4,12
2016,Steven Avery,5,12
2016,Rio Olympics,6,12
2016,Copa América,,12
2016,Royal Rumble,4,12
2016,The Revenant,,12
2016,Finding Dory,4,12
2016,Black Mirror,3,12
2016,Fuller House,3,12
2016,The Night Of,,12
2016,Lukas Graham,,12
2016,Alan Rickman,,12
2016,Muhammad Ali,,12
2016,Juan Gabriel,,12
2016,Google Pixel,4,12
2017,NBA Playoffs,5,12
2017,Wonder Woman,,12
2017,French toast,2,12
2017,Pesto recipe,,12
2017,Shape of You,3,12
2017,Kevin Spacey,4,12
2017,Travis Scott,3,12
2017,Hot Dog Meme,3,12
2017,BMC election,,12
2018,XXXTentacion,7,12
2018,Lindsey Vonn,3,12
2018,Allison Mack,4,12
2019,Jordyn Woods,3,12
2019,Keanu Reeves,4,12
2019,Bryce Harper,3,12
2001,Tomb Raider,3,11
2001,Linkin Park,3,11
2001,Limp Bizkit,3,11
