Year,Word,ManSyl
2008,Jennifer Aniston & John Mayer,10
2008,Taylor Swift & Joe Jonas,7
2008,Jessica Simpson & Tony Romo,10
2008,Miley Cyrus & Nick Jonas,9
2008,Sarah Silverman & Jimmy Kimmel,10
2008,Paper Planes,3
2008,What is Scientology,7
2008,What is 3G,4
2008,Lost,1
2008,SNL,3
2008,Family Guy,3
2008,Oprah,2
2008,One Tree Hill,3
2008,Jonas Brothers,4
2008,Coldplay,2
2008,Kenny Chesney,4
2008,Carrie Underwood,5
2008,Radiohead,4
2008,Rascal Flatts,3
2008,Heath Ledger,3
2008,Bernie Mac,3
2008,DIY Wedding,5
2008,How To Write,3
2008,How To Cook,3
2008,How To Tie,3
2008,How To Spell,3
2008,Dark Knight,2
2008,Iron Man,3
2008,Hulk,1
2008,Indiana Jones,5
2008,Twilight,2
2008,Terminator,4
2008,Who is Obama,5
2008,Who is McCain,4
2008,Who is Palin,4
2008,Dancing with the Stars,5
2008,So You Think You Can Dance,6
2008,The Hills,2
2008,Biggest Loser,4
2008,America's Next Top Model,8
2008,Project Runway,4
2008,Real World,2
2008,Facebook,2
2008,LinkedIn,2
2009,Transformers,3
2009,VMAs,3
2009,International Society Of Transport Aircraft Trading,16
2009,Delhi Sustainable Development Summit,12
2009,EuroChocolate,4
2009,Beijing 2008,6
2009,Euro 2008,6
2009,Amy Winehouse,4
2009,Wii,1
2009,Twitter,2
2009,New Moon,2
2009,Lady Gaga,4
2009,windows 7,3
2009,Susan Boyle,4
2009,FIFA 10,3
2009,Lesbian Film Festival,7
2009,Acai Berry,4
2009,Peanut Butter Recall,6
2009,Mocktail,2
2009,Tamiflu,3
2009,Megan Fox,3
2009,Real Madrid,4
2009,UFC,3
2009,Pacquiao vs Cotto,5
2009,Confederations Cup,5
2010,iPad,2
2010,iPhone 4,3
2010,Blackberry Apps,4
2010,OtterBox,3
2010,Swine Flu,2
2010,Slumdog Millionaire,5
2010,MySpace Layouts,4
2010,National City Bank,6
2010,Dr. Oz,3
2010,Aspergers,3
2010,McDonald's nutrition,6
2010,Vitamin D Deficiency,8
2010,Appendictis Symptoms,6
2010,Cholera,3
2010,H1N1,4
2010,Whooping Cough,3
2010,Mt. Everest,4
2010,Kew Gardens,3
2010,Justin Bieber,4
2010,Katy Perry,4
2010,Kim Kardashian,5
2010,Nicki Minaj,4
2010,Olympics,3
2010,ESPN3,5
2010,Randy Moss,3
2010,Wayne Rooney,3
2010,David Villa,4
2010,Netflix,2
2010,Ke$ha,2
2010,Grooveshark,2
2010,MasterChef,3
2010,Jimmy Johns,3
2010,Dominos Pizza,5
2010,Guacamole Recipe,7
2010,Applebees Menu,5
2010,Rachael Ray,3
2010,Text to donate,4
2010,Doctors Without Borders,6
2011,Amazon Kindle Fire,7
2011,iPhone 4s,4
2011,Sidekick 4g,4
2011,iPad 2,3
2011,iPad 3,3
2011,Mebo,2
2011,Baidu,2
2011,Delta Airlines,4
2011,Wendy's,2
2011,Little Caesars,4
2011,Chick-Fil-A,3
2011,Allrecipes,4
2011,Buffalo Wild Wings,6
2011,Popeyes,2
2011,Fukushima,4
